Name:,Address:,City:,Province,full_address_x,Location Type:,Region:,Contact Name:,Contact Email:,Contact Position:,Contact Address:,lat,lon
Équipe D'Alphabétisation Nouvelle-Écosse ,50 Aberdeen St. (Centre francophone de Truro) ,Truro,NS,50 Aberdeen St.   Truro NS,Classroom ,Valley ,Shirley Vigneault ,direction@eane.ca ,Executive director ,"CP 59, 1, rue Slocumb Tusket (N.-É.) B0W 3M0 ",45.36216297,-63.26074957
Nova Scotia Community College ,36 Arthur St ,Truro,NS,36 Arthur St  Truro NS,None,Northern ,None,None,None,None,45.36011945,-63.28772827
Community Learning Association North of Smokey ,244 New Haven Road (St. Andrew's Hall) ,Neil's Harbor,NS,244 New Haven Road   Neil's Harbor NS,Classroom ,Cape Breton ,Faye Fricker ,contactcala@gocala.ca ,Executive Director ,"36243 Cabot Trail, PO Box 270 Ingonish NS B0C 1K",46.813743,-60.318492
Community Learning Association North of Smokey ,678 New Haven Rd (Neil's Harbour - New Haven Fire Dept) ,Neils Harbour,NS,678 New Haven Rd   Neils Harbour NS,Classroom ,Cape Breton ,Faye Fricker ,contactcala@gocala.ca ,Executive Director ,"36243 Cabot Trail, PO Box 270 Ingonish NS B0C 1K0 ",46.8114643,-60.3198855
Community Learning Association North of Smokey ,36243 Cabot Trail ,Ingonish,NS,36243 Cabot Trail  Ingonish NS,Office + Classroom ,Cape Breton ,Faye Fricker ,contactcala@gocala.ca ,Executive Director ,"36243 Cabot Trail, PO Box 270 Ingonish NS B0C 1K0 ",46.69036916,-60.38151648
Community Learning Association North of Smokey ,36042 Cabot Trail (St. John's Hall) ,Ingonish,NS,36042 Cabot Trail   Ingonish NS,Classroom ,Cape Breton ,Faye Fricker ,contactcala@gocala.ca ,Executive Director ,"36243 Cabot Trail, PO Box 270 Ingonish NS B0C 1K0 ",46.69159057,-60.36900918
Cumberland Adult Network for Upgrading (CAN-U) Association ,21 Acadia Street ,Amherst,NS,21 Acadia Street  Amherst NS,Office + Classroom ,Northern ,Heather Matthews ,hmatthews@canu-ns.ca ,Executive Director ,"21 Acadia Street, 2nd floor Amherst, NS B4H 4W3 ",45.83458075,-64.20963585
Nova Scotia Community College ,147 South Albion St ,Amherst,NS,147 South Albion St  Amherst NS,None,Northern ,None,None,None,None,45.81580796,-64.20439738
Community Learning Association North of Smokey ,29243 Cabot Trail (North Highlands Cultural Centre) ,Cape North,NS,29243 Cabot Trail  Cape North NS,Classroom ,Cape Breton ,Faye Fricker ,contactcala@gocala.ca ,Executive Director ,"36243 Cabot Trail, PO Box 270 Ingonish NS B0C 1K0 ",46.8846993,-60.50729936
Community Learning Association North of Smokey ,3160 Bay St Lawrence Rd (Bay St. Lawrence Community Centre) ,Bay St. Lawrence,NS,3160 Bay St Lawrence Rd   Bay St. Lawrence NS,Classroom ,Cape Breton ,Faye Fricker ,contactcala@gocala.ca ,Executive Director ,"36243 Cabot Trail, PO Box 270 Ingonish NS B0C 1K0 ",46.99301598,-60.46573922
Deaf Literacy Nova Scotia Association ,329-7071 Bayers Road ,Halifax,NS,329-7071 Bayers Road  Halifax NS,Office + Classroom ,Metro ,Brian Foran ,dlns@ns.sympatico.ca,bmf@ns.sympatico.ca ,Executive Director ,44.655532,-63.626864
Digby Area Learning Association ,"207 Hwy 303, Unit A ",Conway,NS,"207 Hwy 303, Unit A  Conway NS",Office + Classroom ,Valley ,Jessica Chant ,None,Executive Director ,"207 Hwy 303, Unit A",44.61124,-65.768485
Nova Scotia Community College ,87 Warwick St ,Digby,NS,87 Warwick St  Digby NS,None,Valley ,None,None,None,None,44.61654845,-65.76312184
East Hants Community Learning Association ,101A-224 Highway 214 ,Elmsdale,NS,101A-224 Highway 214  Elmsdale NS,Office + Classroom ,Northern ,Tanya Burke ,director@easthantslearning.com ,Executive Director ,"The Nova Centre, Suite 101A 224 Highway 214 Elmsdale NS B2S 1J7 ",44.973257,-63.506735
Eastern Shore & Musquodoboit Valley Literacy Network ,"12280 Highway 224, Suite 4 ",Middle Musquodoboit,NS,"12280 Highway 224, Suite 4  Middle Musquodoboit NS",Classroom ,Northern ,Julie Streight ,esmv@adultliteracynetwork.ca ,Executive Director ,"PO Box 147 Sheet Harbour, NS B0J 3B0 ",45.044414,-63.145952
Eastern Shore & Musquodoboit Valley Literacy Network ,22756 Highway 7 ,Sheet Harbour,NS,22756 Highway 7  Sheet Harbour NS,Office + Classroom ,Northern ,Julie Streight ,esmv@adultliteracynetwork.ca ,Executive Director ,"PO Box 147 Sheet Harbour, NS B0J 3B0 ",44.9175896,-62.5273185
Eastern Shore & Musquodoboit Valley Literacy Network ,325 Porters Lake Station Road ,Porters Lake,NS,325 Porters Lake Station Road  Porters Lake NS,Classroom ,Northern ,Julie Streight ,esmv@adultliteracynetwork.ca ,Executive Director ,"PO Box 147 Sheet Harbour, NS B0J 3B0 ",44.744391,-63.28917574
Équipe D'Alphabétisation Nouvelle-Écosse ,79 Hill Rd (La Grange Acadienne) ,Chezzetcook,NS,79 Hill Rd   Chezzetcook NS,Classroom ,Valley ,Shirley Vigneault ,direction@eane.ca ,Executive director ,"CP 59, 1, rue Slocumb Tusket (N.-É.) B0W 3M0 ",44.7065796,-63.2616704
Guysborough County Adult Learning Association ,169 Main Street ,Canso,NS,169 Main Street  Canso NS,Classroom ,Northern ,Donna Casey ,donnac@guysboroughlearning.ca ,Executive Director ,"9996 Chedabucto Mall, PO Box 255 Guysborough County NS B0H 1N0 ",45.3340357,-60.99901319
Guysborough County Adult Learning Association ,11 Main Street ,Sherbrooke,NS,11 Main Street  Sherbrooke NS,Classroom ,Northern ,Donna Casey ,donnac@guysboroughlearning.ca ,Executive Director ,"9996 Chedabucto Mall, PO Box 255 Guysborough County NS B0H 1N0 ",45.1418254,-61.9830169
Guysborough County Adult Learning Association ,"9996 Hwy 16, Box 255 ",Guysborough,NS,"9996 Hwy 16, Box 255  Guysborough NS",Office + Classroom ,Northern ,Donna Casey ,donnac@guysboroughlearning.ca ,Executive Director ,"9996 Chedabucto Mall, PO Box 255 Guysborough County NS B0H 1N0 ",45.399795,-61.506691
Halifax Community Learning Network ,16 Sussex St (Captain William Spry Comm. Centre) ,Halifax,NS,16 Sussex St   Halifax NS,Classroom ,Metro ,Denise Morley ,director@hcln.ca ,Executive Director ,"2099 Gottingen Street, #214",44.6096654,-63.6183066
Université Sainte-Anne ,5657 Spring Garden Rd Suite 100 ,Halifax,NS,5657 Spring Garden Rd Suite 100  Halifax NS,None,Metro ,Souhael Bouallahui ,Souhael.Bouallagui@usainteanne.ca ,None,None,44.644106,-63.578862
Halifax Community Learning Network ,330 Lacewood Dr. (Keshen Goodman Public Library) ,Halifax,NS,330 Lacewood Dr.   Halifax NS,Classroom ,Metro ,Denise Morley ,director@hcln.ca ,Executive Director ,"2099 Gottingen Street, #214",44.6586397,-63.6666926
Nova Scotia Community College ,5685 Leeds St ,Halifax,NS,5685 Leeds St  Halifax NS,None,Metro ,None,None,None,None,44.6688838,-63.6133115
Hants Learning Network Association ,90 Sanford Drive ,Windsor,NS,90 Sanford Drive  Windsor NS,Office + Classroom ,Valley ,Katharine McCoubrey ,kmccoubrey@hantslearning.com ,Executive Director ,"90 Sanford Drive, PO Box 2465 Windsor NS B0N 2T0 ",44.99141096,-64.10378104
Annapolis Valley Regional Centre for Education ,94 Wentworth Rd ,Windsor,NS,94 Wentworth Rd  Windsor NS,None,Valley ,Dylan Irvine ,dylan.irvine@avrce.ca ,Principal ,"94 Wentworth Rd., PO Box 369 Windsor, NS B0N 2T0 ",44.9911944,-64.112625
Équipe D'Alphabétisation Nouvelle-Écosse ,1 Slocumb Cres ,Tusket,NS,1 Slocumb Cres  Tusket NS,Classroom ,Southwest ,Shirley Vigneault ,direction@eane.ca ,Executive director ,"CP 59, 1, rue Slocumb Tusket (N.-É.) B0W 3M0 ",43.87090011,-65.97457487
Équipe D'Alphabétisation Nouvelle-Écosse ,3435 Hwy 206 (Centre La Picasse) ,Petit-de-Grat,NS,3435 Hwy 206   Petit-de-Grat NS,Classroom ,Cape Breton ,Shirley Vigneault ,direction@eane.ca ,Executive director ,"CP 59, 1, rue Slocumb Tusket (N.-É.) B0W 3M0 ",45.51338247,-60.96243077
Richmond County Literacy Network Society ,2543 Highway #206 ,Arichat,NS,2543 Highway #206  Arichat NS,Office + Classroom ,Cape Breton ,Mitch David ,micheltdavid@gmail.com  ,Executive Director ,"10036 Unit B Grenville Street St. Peter’s, NS B0E 3B0 ",-39.6282795,176.7274051
Université Sainte-Anne ,3433 Route 206 ,Petit-de-Grat,NS,3433 Route 206  Petit-de-Grat NS,None,Cape Breton ,Souhael Bouallahui ,Souhael.Bouallagui@usainteanne.ca ,None,None,45.51273417,-60.97711279
Équipe D'Alphabétisation Nouvelle-Écosse ,9976 Highway 1 ,Saulnierville,NS,9976 Highway 1  Saulnierville NS,Classroom ,Valley ,Shirley Vigneault ,direction@eane.ca ,Executive director ,"CP 59, 1, rue Slocumb Tusket (N.-É.) B0W 3M0 ",44.25782241,-66.12896432
Équipe D'Alphabétisation Nouvelle-Écosse ,15 Inglis St. (Centre comm. Étoile de l'Acadie) ,Sydney,NS,15 Inglis St.   Sydney NS,Classroom ,Valley ,Shirley Vigneault ,direction@eane.ca ,Executive director ,"CP 59, 1, rue Slocumb Tusket (N.-É.) B0W 3M0 ",46.14128433,-60.1831176
Cape Breton Victoria Regional Centre for Education ,290 Whitney Ave ,Sydney,NS,290 Whitney Ave  Sydney NS,None,Cape Breton ,None,None,None,"290 Whitney Ave. Sydney, NS B1P 5A6 ",46.1374476,-60.17789035
Cape Breton Victoria Regional Centre for Education ,275 George St ,Sydney,NS,275 George St  Sydney NS,None,Cape Breton ,Paul Gartland ,gartland@cbvrce.ca ,Principal ,"275 George St. Sydney, NS B1P 1J7 ",46.14098088,-60.19327819
Municipality of the County of Inverness ,7972 Cabot Trail (Coady & Tomkins Memorial Library) ,Margaree Forks,NS,7972 Cabot Trail   Margaree Forks NS,Classroom ,Cape Breton ,Jesslyn Timmons ,invernesslit@ns.aliantzinc.ca ,Executive Director ,"375 Main Street, PO Box 179 Port Hood NS B0E 2W0 ",46.33361654,-61.09668846
Équipe D'Alphabétisation Nouvelle-Écosse ,"1154, chemin Pomquet Monks Head (Société acadienne Sainte-Croix ",Pomquet,NS,"1154, chemin Pomquet Monks Head  Pomquet NS",Classroom ,Valley ,Shirley Vigneault ,direction@eane.ca ,Executive director ,"CP 59, 1, rue Slocumb Tusket (N.-É.) B0W 3M0 ",45.62989,-61.847767
Municipality of the County of Inverness ,16 Railway St. (Iverness County Literacy) ,Inverness,NS,16 Railway St.   Inverness NS,Office + Classroom ,Cape Breton ,Jesslyn Timmons ,invernesslit@ns.aliantzinc.ca ,Executive Director ,"375 Main Street, PO Box 179 Port Hood NS B0E 2W0",46.22954899,-61.30555673
Pictou County Continuous Learning Association ,174 Archimedes St ,New Glasgow,NS,174 Archimedes St  New Glasgow NS,Office + Classroom ,Northern ,Carollynne Nemecek ,carollynne@me.com ,Executive Director ,"Box 670, 91 Beeches Road Pictou NS B0K 1H0 ",45.5869136,-62.6444584
Nova Scotia Community College ,39 Acadia Ave ,Stellarton,NS,39 Acadia Ave  Stellarton NS,None,Northern ,None,None,None,None,45.5571761,-62.6637273
Paq'tnkek First Nation ,7 Dillon Street ,Afton,NS,7 Dillon Street  Afton NS,Office ,Northern ,Charmaine Jesty ,neo@paqtnkek.ca ,Native Employment Officer ,"7 Dillon St. Afton, NS B0H 1A0 ",45.601724,-61.738228
Paq'tnkek First Nation ,136 Afton Loop (Paqtnkek Gymnasium) ,Paqtnkek,NS,136 Afton Loop   Paqtnkek NS,Classroom ,Northern ,Charmaine Jesty ,neo@paqtnkek.ca ,Native Employment Officer ,"7 Dillon St. Afton, NS B0H 1A0",45.6029229,-61.73820395
Port Hawkesbury Literacy Council ,"305 Granville Street, Unit 1 ",Port Hawkesbury,NS,"305 Granville Street, Unit 1  Port Hawkesbury NS",Office + Classroom ,Cape Breton ,Taralee Wood ,porthawkesburyliteracycouncil@gmail.com ,Interim Acting Executive Director ,"305 Granville St., Unit 1",45.615019,-61.364005
Nova Scotia Community College ,226 Reeves St ,Port Hawkesbury,NS,226 Reeves St  Port Hawkesbury NS,None,Cape Breton ,None,None,None,None,45.62736815,-61.36952944
Pictou County Continuous Learning Association ,91 Beeches Road ,Pictou,NS,91 Beeches Road  Pictou NS,Office + Classroom ,Northern ,Carollynne Nemecek ,carollynne@me.com ,Executive Director ,"Box 670, 91 Beeches Road Pictou NS B0K 1H0 ",45.68289855,-62.69640697
Queens County Learning Network ,279 Main Street ,Liverpool,NS,279 Main Street  Liverpool NS,Office + Classroom ,Southwest ,Terri Faber ,feoner@hotmail.com ,Executive Director ,279 Main St. Liverpool NS B0T 1K0 ,44.0381378,-64.7162739
Queens County Learning Network ,219 Main Street (Astor Theatre) ,Liverpool,NS,219 Main Street   Liverpool NS,Classroom ,Southwest ,Terri Faber ,feoner@hotmail.com ,Executive Director ,279 Main St. Liverpool NS B0T 1K0 ,44.03857315,-64.71505296
Queens County Learning Network ,145 Old Bridge Street (Thomas H. Raddall Library) ,Liverpool,NS,145 Old Bridge Street   Liverpool NS,Classroom ,Southwest ,Terri Faber ,feoner@hotmail.com ,Executive Director ,279 Main St. Liverpool NS B0T 1K0,44.03607765,-64.71379175
Queens County Learning Network ,"40 Water Street, Unit 2 (Queens Family Resource Centre) ",Liverpool,NS,"40 Water Street, Unit 2   Liverpool NS",Classroom ,Southwest ,Terri Faber ,feoner@hotmail.com ,Executive Director ,279 Main St. Liverpool NS B0T 1K0 ,44.039475,-64.715796
South Shore Regional Centre for Education ,19 Milton Rd ,Liverpool,NS,19 Milton Rd  Liverpool NS,None,Southwest ,Todd Symes ,ssilc@ssrce.ca ,Principal ,"19 Milton Road Liverpool,NS B0T 1K0 ",44.04561402,-64.72332113
Preston Area Learning Skills Society ,875 Highway 7 ,Westphal,NS,875 Highway 7  Westphal NS,Classroom ,Metro ,Allister Johnson ,1987pals@gmail.com ,Executive Director ,"979 North Preston Road, Suite 124 North Preston NS B2Z 1A2 ",44.6980697,-63.4929239
Richmond County Literacy Network Society ,2543 Highway #206 ,Arichat,NS,2543 Highway #206  Arichat NS,Office + Classroom ,Cape Breton ,Mitch David ,micheltdavid@gmail.com  ,Executive Director ,"10036 Unit B Grenville Street St. Peter’s, NS B0E 3B0 ",-39.6282795,176.7274051
Richmond County Literacy Network Society ,2543 Highway #206 ,Arichat,NS,2543 Highway #206  Arichat NS,Office + Classroom ,Cape Breton ,Mitch David ,micheltdavid@gmail.com  ,Executive Director ,"10036 Unit B Grenville Street St. Peter’s, NS B0E 3B0 ",-39.6282795,176.7274051
Université Sainte-Anne ,3433 Route 206 ,Petit-de-Grat,NS,3433 Route 206  Petit-de-Grat NS,None,Cape Breton ,Souhael Bouallahui ,Souhael.Bouallagui@usainteanne.ca ,None,None,45.51273417,-60.97711279
Shelburne County Learning Network ,3394 Hwy 3 ,Barrington Passage,NS,3394 Hwy 3  Barrington Passage NS,Office + Classroom ,Southwest ,Monica Gosbee ,mgosbee.scln@gmail.com ,Executive Director ,"3394 Hwy 3, PO Box 441",43.53354721,-65.60711458
Richmond County Literacy Network Society ,"10036 Unit B, Grenville St ",St. Peter's,NS,"10036 Unit B, Grenville St  St. Peter's NS",Classroom ,Cape Breton ,Mitch David ,micheltdavid@gmail.com  ,Executive Director ,"10036 Unit B Grenville Street St. Peter’s, NS B0E 3B0 ",45.656923,-60.871854
Valley Community Learning Association ,295 Commercial Street ,Middleton,NS,295 Commercial Street  Middleton NS,Office + Classroom ,Valley ,Peter Gillis ,vcla.learning@gmail.com ,Executive Director ,"49 Cornwallis Street, Suite 106 Kentville NS B4N 2E3 ",44.95527501,-65.07619261
We'koqma'q First Nation ,160 Reservation Rd ,Whycocomagh,NS,160 Reservation Rd  Whycocomagh NS,Classroom ,Cape Breton ,Susan Googoo ,susangoogoo@waycobah.ca ,Native Employment Officer ,"PO Box 209, 140 Reservation Road",45.97164541,-61.13896148
Western Halifax Community Learning Network ,10 Pte Richard Green Lane (Aspotogan Heritage Trust) ,Hubbards,NS,10 Pte Richard Green Lane   Hubbards NS,Classroom ,Metro ,Lesta Armstrong ,Lesta.armstrong@gmail.com ,Executive Director ,"5181 St. Margaret's Bay Road, Unit 2, Suite 4 Upper Tantallon, NS B3Z 4R4 ",44.63561623,-64.07164258
Western Halifax Community Learning Network ,5209 St. Margaret's Bay Road #205 (Crossroads Holdings) ,Upper Tantallon,NS,5209 St. Margaret's Bay Road #205   Upper Tantallon NS,Office + Classroom ,Metro ,Lesta Armstrong ,Lesta.armstrong@gmail.com ,Executive Director ,"5181 St. Margaret's Bay Road, Unit 2, Suite 4 Upper Tantallon, NS B3Z 4R4 ",44.68928977,-63.88236029
Antigonish County Adult Learning Association ,220 Main St ,Antigonish,NS,220 Main St  Antigonish NS,Office + Classroom ,Northern ,Shayla MacDonald ,acalalearn@acala.live ,Organization Administrator  ,"283 Main St., Room 120 Antigonish NS B2G 2H8 ",45.6226364,-61.9897726
Antigonish County Adult Learning Association ,283 Main Street (The People's Place Library) ,Antigonish,NS,283 Main Street   Antigonish NS,Office + Classroom ,Northern ,Shayla MacDonald ,acalalearn@acala.live ,Organization Administrator  ,"283 Main St., Room 120 Antigonish NS B2G 2H8 ",45.6222172,-61.9921347
Colchester Adult Learning Association ,295 George Street ,Stewiacke,NS,295 George Street  Stewiacke NS,Classroom ,Northern ,Mary Teed ,contactcala@gocala.ca ,Executive Director ,"966B Prince Street, Truro, B2N 1H8  ",45.13842053,-63.34825873
Community Learning Association North of Smokey ,678 New Haven Rd (Neil's Harbour - New Haven Fire Dept) ,Neils Harbour,NS,678 New Haven Rd   Neils Harbour NS,Classroom ,Cape Breton ,Faye Fricker ,contactcala@gocala.ca ,Executive Director ,"36243 Cabot Trail, PO Box 270 Ingonish NS B0C 1K0",46.8114643,-60.3198855
Community Learning Association North of Smokey ,244 New Haven Road (St. Andrew's Hall) ,Neil's Harbor,NS,244 New Haven Road   Neil's Harbor NS,Classroom ,Cape Breton ,Faye Fricker ,contactcala@gocala.ca ,Executive Director ,"36243 Cabot Trail, PO Box 270 Ingonish NS B0C 1K0 ",46.813743,-60.318492
Employment Solutions Society ,215 Dominion St ,Bridgewater,NS,215 Dominion St  Bridgewater NS,Office ,Southwest ,Margaret Matthews ,mmatthews@empsolutions.ca ,Executive Director ,"215 Dominion Street, Bridgewater, NS B4V 2K7 ",44.3706218,-64.5258495
Nova Scotia Community College ,75 High St ,Bridgewater,NS,75 High St  Bridgewater NS,None,Southwest ,None,None,None,None,44.37094085,-64.52877972
South Shore Regional Centre for Education ,69 Wentzell Drive,Bridgewater,"NS, B4V 0A2","69 Wentzell Drive Bridgewater NS, B4V 0A2",Office,Southwest ,Gord Walters ,ssilc@ssrce.ca ,Principal ,"69 Wentzell Drive, Bridgewater, NS, B4V 0A2 ",44.388536,-64.538584
Équipe D'Alphabétisation Nouvelle-Écosse ,50 Aberdeen St. (Centre francophone de Truro) ,Truro,NS,50 Aberdeen St.   Truro NS,Classroom ,Valley ,Shirley Vigneault ,direction@eane.ca ,Executive director ,"CP 59, 1, rue Slocumb Tusket (N.-É.) B0W 3M0 ",45.36216297,-63.26074957
Équipe D'Alphabétisation Nouvelle-Écosse ,79 Hill Rd (La Grange Acadienne) ,Chezzetcook,NS,79 Hill Rd   Chezzetcook NS,Classroom ,Valley ,Shirley Vigneault ,direction@eane.ca ,Executive director ,"CP 59, 1, rue Slocumb Tusket (N.-É.) B0W 3M0 ",44.7065796,-63.2616704
