unique_id,citation,key_findings
50,"Petrusevski, C., Joy, M., Wilson, M., & Richardson, J. (2024). “You can because you do and you do, because you can”: Using interpretative description to examine what it means to be a physically literate adult living with multiple chronic conditions. PLoS ONE, 19(1 January). https://doi.org/10.1371/journal.pone.0297261","Physical literacy for adults differs from traditional models for youth and includes unique constructs such as self-efficacy, rehabilitation strategies, and overcoming movement barriers.
Participants emphasized the importance of social support, access to health professionals, and awareness of safe activities.
Fear of injury, lack of time, and limited access to tailored programs were significant barriers.
Facilitators included trusted health coaches, meaningful activities, and knowledge of rehabilitation resources."
51,"Purewal, S., Ardiles, P., Di Ruggiero, E., Elhagehassan, H., Flores, J. V., & Mahmood, S. (2022). A cross-sectional study to assess health literacy levels among Canadian post-secondary students during the COVID-19 pandemic. Int. J. Health Promot. Edu. https://doi.org/10.1080/14635240.2022.2059543","A high percentage of students reported being able to easily access and utilize online health information related to COVID-19.
The most used sources for obtaining information were search engines and public health agency websites.
Challenges included navigating the vast amount of available online information and verifying the reliability of information, especially from social media sources."
52,"Gottardo, A., Al-Janaideh, R., Paradis, J., Soto-Corominas, A., Chen, X., & Amin, N. (2023). Age, Experience and Language and Literacy Skills in English-Arabic Speaking Syrian Refugees. Languages, 8(2). https://doi.org/10.3390/languages8020101","Older children outperformed younger children in L1 literacy measures but did not differ significantly in most L2 literacy measures except for English word reading.
Arabic morphological awareness was a strong predictor of English word reading for younger children, while older children relied on phonological and morphological awareness across both languages.
Cross-linguistic relations between Arabic and English literacy skills were stronger for older children, likely due to more developed metalinguistic awareness and prior L1 literacyâ€‹"
55,"Stoddart, A. L., Humbert, M. L., Kerpan, S., Cameron, N., & Kriellaars, D. (2023). PLitPE: an intervention for physical literacy enriched pedagogy in Canadian elementary school physical education classes. Phys. Educ. Sport Pedagogy, 28(6), 675–691. https://doi.org/10.1080/17408989.2021.2014438","The intervention led to significant improvements in motor competence and movement vocabulary.
There were reductions in sex-based differences in physical competency outcomes.
The intervention did not significantly impact the behavioral domain as measured by PLAYinventory."
60,"Cummine, J., Ostevik, A., Cheema, K., & Cullum, A. (2023). Adult Learner Perspectives on Skill- and Life-Based Outcomes Following Literacy Remediation. Soc. Sci., 12(6). https://doi.org/10.3390/socsci12060315","Participants reported significant improvement in skill-based domains (reading, writing, listening, and speaking) but no changes in math or computer skills. Life-based improvements included increased confidence and perceived ability to handle daily challenges. Relationships between skill-based and life-based improvements were significant"
61,"Chouinard, M.-C., Lambert, M., Lavoie, M., Lambert, S. D., Hudon, É., Dumont-Samson, O., & Hudon, C. (2022). Measuring Health Literacy in Primary Healthcare: Adaptation and Validation of a French-Language Version of the Brief Health Literacy Screening among Patients with Chronic Conditions Seen in Primary Care. Int. J. Environ. Res. Public Health, 19(13). https://doi.org/10.3390/ijerph19137669","The BHLS-FCv demonstrated acceptable psychometric properties, including good internal consistency (Cronbachâ€™s alpha of 0.77) and moderate testâ€“retest reliability (intraclass correlation coefficient of 0.69).
Concurrent validity showed low to moderate correlations with selected subscales of the Health Literacy Questionnaire (HLQ).
The study suggests that the BHLS-FCv can effectively identify patients with low health literacy in primary care, allowing for targeted interventions"
65,"Lambert-De Francesch, J., Labrecque, J., & Lessard, S. (2023). Identifying individual factors associated with pleasure of eating healthy foods and plant/animal protein food consumption: findings from an exploratory study. Br. Food J., 125(12), 4592–4609. https://doi.org/10.1108/BFJ-11-2022-1033","Greater nutrition literacy of both the 2007 and 2019 Food Guides was associated with greater pleasure in eating healthy foods (PEHFs).
Greater pleasure in eating healthy foods (PEHFs) was linked to increased consumption of plant protein foods.
Nutrition literacy of the 2007 Food Guide was associated with higher consumption of animal protein foods, while the 2019 guide was associated with lower consumption of these foods.
The study highlights the need to improve nutrition literacy and promote positive emotions around plant-based diets to encourage sustainable and health-focused food choices."
66,"Susperreguy, M. I., Lira, C. J., & Lefevre, J.-A. (2022). Cross-Cultural Comparisons of Home Numeracy and Literacy Environments: Canada, Mexico, and Chile. Educ. Sci., 12(2). https://doi.org/10.3390/educsci12020062","Similarities: Parents across the three countries engaged in similar frequencies of many numeracy and meaning-related literacy activities.
Differences:
Mexican parents reported the highest academic expectations for numeracy and literacy, particularly for complex skills like multiplying and reading chapter books.
Chilean parents emphasized formal, code-based literacy and numeracy activities more than Canadian and Mexican parents.
Canadian parents reported more frequent library visits compared to the other groups."
79,"Das, R. R., & Richman, R. (2022). The Development and Application of a Public Energy Literacy Instrument. Can. J. Sci. Math. Technol. Educ., 22(1), 42–67. https://doi.org/10.1007/s42330-022-00196-4","Toronto residents demonstrated low knowledge scores but high scores in attitudes and behaviors.
Knowledge gaps included electricity billing understanding, primary energy sources, and energy usage in Canadian homes.
Strong positive attitudes were observed toward energy-related issues, such as global warming and energy education in schools.
Social desirability bias may have influenced high behavior scores, as participants tended to report frequent engagement in energy-saving actions."
83,"Singh, G., Sawatzky, B., Nimmon, L., & Mortenson, W. B. (2023). Perceived eHealth literacy and health literacy among people with spinal cord injury: A cross-sectional study. J. Spinal Cord Med., 46(1), 118–125. https://doi.org/10.1080/10790268.2021.1963140","Moderate, positive correlation between eHealth and general health literacy.
General health literacy positively correlated with income and education but negatively correlated with time since injury.
Participants living with companions demonstrated higher general health literacy scores than those living alone.
Individuals with higher literacy levels were more likely to engage with eHealth technologies for health managementâ€‹"
88,"Yildirim-Erbasli, S. N., & Cui, Y. (2022). Cognitive Skills of Canadian Educators: An Analysis of PIAAC Data. Alta. J. Educ. Res., 68(2), 234–253. https://doi.org/10.11575/ajer.v68i2.71334","Canadian educators outperform educators in Denmark, Estonia, the Russian Federation, and the UK in literacy.
Educators in Canada underperform compared to Finnish and Japanese educators in literacy.
Factors such as education level, parental education, and adult education/training significantly predict proficiency.
Recommendations include improving teacher training programs to enhance cognitive skills."
91,"Grabau, L. J., Trudel, L., & Ma, X. (2022). Associations between science dispositions and science literacy: a comparison of the United States and Canada. Int. J. Sci. Educ., 44(9), 1440–1461. https://doi.org/10.1080/09500693.2022.2080887","Canada consistently outperformed the U.S. in science literacy, with Canadian students scoring above the OECD average.
Disciplinary climate in science classrooms was more strongly associated with science literacy in the U.S., while teaching support was more impactful in Canada.
Science enjoyment and self-efficacy were common predictors of science literacy in both nations.
Canadian students who spoke French at home scored higher in science literacy than their English-speaking or other language-speaking peers.
Recommendations include focusing on disciplinary climate in U.S. classrooms and teaching support in Canadian classrooms."
94,"D’abbondanza, J. A., Roy, M., Okrainec, K., Novak, C. B., von Schroeder, H. P., Urbach, D. R., & McCabe, S. J. (2023). Health literacy awareness among Canadian surgeons. Univ. Toronto Med. J., 100(1), 14–20. https://doi.org/10.33137/utmj.v100i1.39410","74% of surgeons were familiar with the term ""health literacy.""
Most surgeons relied on general impressions rather than formal tools to assess patient health literacy.
A significant proportion of surgeons recognized that their patients often had limited health literacy, impacting healthcare navigation and decision-making.
Universal measures of support (e.g., plain language, diagrams) were commonly used but formal health literacy assessment tools were underutilized.
Improved surgeon awareness of health literacy correlated with better communication practices (e.g., spending more time with patients, simplifying language)."
110,"Julien, H., Gerstle, D., Detlor, B., La Rose, T., & Serenko, A. (2022). Digital Literacy Training in Canada, Part 2: Defining and Measuring Success. Libr. Q., 92(1), 87–100. https://doi.org/10.1086/717233","Digital literacy programs in public libraries and community organizations are often idealistically motivated, focusing on democratic access and reducing digital divides.
Measurement practices are generally informal, relying heavily on attendance data and anecdotal feedback rather than rigorous or standardized evaluation frameworks.
Success is frequently defined by increased confidence, social engagement, and workplace development for participants.
There is an opportunity to standardize performance metrics for digital literacy programs to ensure consistency and robust evaluation across programs."
113,"Li, G., Gunderson, L., Lin, Z., & Sun, Z. (2021). The english vocabulary and language development of mandarin-and cantonese-speaking bilingual children in canada: Implications for instruction. Eur. J. Appl. Ling. TEFL, 10(2), 125–152. https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118879452&partnerID=40&md5=796f7a1cb10eb8d2061251b7b370883a","Cantonese-speaking children outperformed Mandarin-speaking children in both home and school vocabulary, though differences were not statistically significant.
Length of exposure to English educational facilities positively correlated with better English receptive vocabulary.
Heritage language (HL) education supported Mandarin-speaking childrenâ€™s L2 English learning but was less beneficial for Cantonese-speaking children due to the dominance of Mandarin in HL programs.
Richness of home English exposure mattered more for Cantonese-speaking children, whereas Mandarin childrenâ€™s vocabulary was negatively associated with Chinese language exposure at home."
123,"Ferlatte, O., Salway, T., Oliffe, J. L., Rice, S. M., Gilbert, M., Young, I., McDaid, L., Ogrodniczuk, J. S., & Knight, R. (2021). Depression and Suicide Literacy among Canadian Sexual and Gender Minorities. Arch. Suicide Res., 25(4), 876–891. https://doi.org/10.1080/13811118.2020.1769783","Overall, SGM correctly answered 71.3% of D-LIT questions and 76.5% of LOSS questions.
Significant disparities in literacy were observed:
Lower D-LIT and LOSS scores among cisgender men, transgender women, Indigenous SGM, and ethnic minority SGM compared to cisgender women or White SGM.
Education level strongly correlated with literacy; those without a university degree had significantly lower scores.
Interventions to enhance depression and suicide literacy among SGM should target subgroups with lower scores."
125,"Vézina, S., & Bélanger, A. (2020). Are large surveys of adult literacy skills as comparable over time as we think? Large-Scale Assess. Educ., 8(1). https://doi.org/10.1186/s40536-020-00080-3","The study challenges the notion of a negative cohort effect in literacy trends over time, arguing that differences may stem from methodological changes across surveys.
Age-related decline in literacy is significant, but much of the perceived decline across cohorts is due to non-comparable instruments.
Results emphasize the limitations of using synthetic cohort methods with non-comparable cross-sectional surveys.
The study calls for cautious interpretation of longitudinal trends and highlights the need for harmonized measurement tools."
129,"Stagg Peterson, S., & Friedrich, N. (2022). Viewing young children’s drawing, talking, and writing through a ‘language as context’ lens: implications for literacy assessment. Int. J. Early Years Educ., 30(1), 106–121. https://doi.org/10.1080/09669760.2021.1956439","Children use oral language to plan, guide, and revise their drawing and writing.
Sociocultural understandings shape how children respond to tasks, such as revising drawings to match oral descriptions.
Assessment tasks provided insights into childrenâ€™s perspectives and literate identities, emphasizing the importance of integrating talk, drawing, and writing in literacy assessments"
136,"Do, J., Blais, A., Feldman, B., Brandão, L. R., Lougheed, J., Pohl, D., Klaassen, R. J., Johnston, D. L., De Laat, D., Roth, J., Katz, S. L., McCormick, A., Wright, F. V., Macartney, G., McMillan, H. J., Venkateswaran, S., Sell, E., Doja, A., Matheson, K., … Longmuir, P. E. (2021). Characterization of physical literacy in children with chronic medical conditions compared with healthy controls: A cross-sectional study. Appl. Physiol. Nutr. Metab., 46(9), 1073–1082. https://doi.org/10.1139/apnm-2020-0957","CWMC had lower physical competence scores than healthy peers but demonstrated higher motivation and confidence.
Daily behavior and knowledge/understanding scores were comparable between CWMC and healthy peers.
Interventions should target physical competence (e.g., motor skills, fitness) rather than motivational or educational components.
Similar physical literacy patterns across different medical conditions suggest that interventions can be generalized across diverse groups."
138,"Boyer, A., Begin, Y., Dupont, J., Rousseau-Gagnon, M., Fernandez, N., Demian, M., Simonyan, D., Agharazii, M., & Mac-Way, F. (2021). Health literacy level in a various nephrology population from Québec: predialysis clinic, in-centre hemodialysis and home dialysis; a transversal monocentric observational study. BMC Nephrol., 22(1). https://doi.org/10.1186/s12882-021-02464-1","Patients on home dialysis (HHD and PD) had higher health literacy levels compared to those in the predialysis clinic or on in-center hemodialysis.
Limited health literacy was more common among patients on ICHD (29.3%) and those in the predialysis clinic (14.4%) compared to those on PD (10.5%) and HHD (0%).
Younger age, higher education, and being married were associated with higher health literacy."
147,"Kim, H., Barron, C., Sinclair, J., & Eunhee Jang, E. (2020). Change in home language environment and English literacy achievement over time: A multi-group latent growth curve modeling investigation. Lang. Test., 37(4), 573–599. https://doi.org/10.1177/0265532220930348","Students whose home environments remained multilingual (Multi to Multi) showed the highest literacy achievement in grade 3 and the greatest improvement over time.
A shift toward English-dominant home environments was observed among multilingual students.
Maintaining a multilingual home environment was associated with higher literacy performance compared to transitioning to an English-dominant environment.
Immigrant students, especially those from multilingual homes, demonstrated higher literacy achievement and improvement over time.
Early ESL program enrollment in grade 3 positively impacted literacy growth trajectories."
151,"Truman, E., & Elliott, C. (2020). Health-promoting skills for children: Evaluating the influence of a media literacy and food marketing intervention. Health Educ. J., 79(4), 431–445. https://doi.org/10.1177/0017896919889647","Post-intervention, there was an increase in children's skills in analyzing and evaluating food marketing appeals and assessing the nutritional content of packaged foods.
The study highlighted the importance of procedural and interpretive knowledge in evaluating critical media literacy skills related to food."
153,"Blanchard, J., Van Wyk, N., Ertel, E., Alpous, A., & Longmuir, P. E. (2020). Canadian Assessment of Physical Literacy in grades 7-9 (12-16 years): Preliminary validity and descriptive results. J. Sports Sci., 38(2), 177–186. https://doi.org/10.1080/02640414.2019.1689076","CAPL 789 demonstrated feasibility for assessing physical literacy in children aged 12-16 years.
Gender differences were observed in some domains, such as higher flexibility scores in girls and better grip strength in boys.
Revised tools (e.g., CAMSA 789, PaQ) addressed ceiling effects in older children compared to the original CAPL.
Age influenced physical competence and knowledge scores, with older children showing improved scores.
Future research is required to establish psychometric properties, including validity and reliability."
171,"Zarifa, D., Seward, B., & Milian, R. P. (2019). Location, location, location: Examining the rural-urban skills gap in Canada. J. Rural Stud., 72, 252–263. https://doi.org/10.1016/j.jrurstud.2019.10.032","Rural residents generally have lower literacy and numeracy skills compared to urban counterparts.
The skills gap is partly explained by differences in educational attainment and socioeconomic factors.
Enhanced post-secondary access in rural areas is necessary to mitigate these disparities."
172,"Matheson, M. N., DeLuca, C., & Matheson, I. A. (2020). An assessment of personal financial literacy teaching and learning in Ontario high schools. Citizsh. Soc. Econ. Educ., 19(2), 118–132. https://doi.org/10.1177/2047173420927665","Financial literacy instruction in high schools is inconsistent and often inadequate, with significant gaps in curriculum coverage, particularly for academic-stream students.
Teachers expressed frustration over the lack of resources and time for effective financial literacy instruction.
Students emphasized the need for real-world applications and active learning approaches, such as projects, games, and student-led inquiry.
Both students and teachers recommended making financial literacy instruction mandatory and integrating it meaningfully across subjects."
175,"Goodrich, S., & Ercikan, K. (2019). Measurement Comparability of Reading in the English and French Canadian Populations: Special Case of the 2011 Progress in International Reading Literacy Study. Front. Educ., 4. https://doi.org/10.3389/feduc.2019.00120","Approximately 25% of items across booklets functioned differently between English and French language groups.
Differences were attributed to linguistic and cultural variations, translation challenges, and item complexity.
English language students consistently outperformed French language students across booklets.
Recommendations include improving test translation and adaptation processes to reduce linguistic biases"
177,"Hyman, A., Stewart, K., Jamin, A.-M., Novak Lauscher, H., Stacy, E., Kasten, G., & Ho, K. (2020). Testing a school-based program to promote digital health literacy and healthy lifestyle behaviours in intermediate elementary students: The Learning for Life program. Preventive Med. Reports, 19. https://doi.org/10.1016/j.pmedr.2020.101149","Studentsâ€™ digital health literacy increased significantly from pre- to post-intervention but declined at follow-up, indicating short-term gains.
The majority of students identified ways to use technology to improve health and recognized healthy behaviors, such as eating more fruits and vegetables and increasing physical activity.
No significant changes were observed in physical activity or social connectedness levels.
Barriers included high sedentary screen use and the need for sustained programming to maintain gains."
178,"Cherid, C., Baghdadli, A., Wall, M., Mayo, N. E., Berry, G., Harvey, E. J., Albers, A., Bergeron, S. G., & Morin, S. N. (2020). Current level of technology use, health and eHealth literacy in older Canadians with a recent fracture—a survey in orthopedic clinics. Osteoporosis Int., 31(7), 1333–1340. https://doi.org/10.1007/s00198-020-05359-3","Significant adoption of mobile technology among older adults: 81% owned a mobile device, and 65% used the internet in the previous six months.
High eHEALS scores (â‰¥ 26) were more prevalent in younger age groups (50â€“64 years: 76%, 65â€“74 years: 71%, â‰¥75 years: 44%).
Education level and age influenced both health and eHealth literacy.
eHealth interventions are feasible and acceptable in this population, especially for improving skeletal health management."
181,"Jefferies, P., Ungar, M., Aubertin, P., & Kriellaars, D. (2019). Physical Literacy and Resilience in Children and Youth. Front. Public Health, 7. https://doi.org/10.3389/fpubh.2019.00346","Resilience is significantly correlated with movement competence, confidence, environmental engagement, and perceptions of physical literacy.
The findings highlight a connection between resilience and physical literacy, suggesting mutual reinforcement.
Male participants scored higher on movement competence and confidence than females.
The study emphasizes the need for holistic school programs incorporating physical literacy and resilience."
182,"Brown, D. M. Y., Dudley, D. A., & Cairney, J. (2020). Physical literacy profiles are associated with differences in children’s physical activity participation: A latent profile analysis approach. J. Sci. Med. Sport, 23(11), 1062–1067. https://doi.org/10.1016/j.jsams.2020.05.007","High physical literacy profiles are associated with the greatest physical activity participation.
Differences in physical activity participation across profiles remained stable over time.
Socioeconomic status positively influenced participation, while gender (female) negatively influenced it by 2008.
Physical literacy is integral to shaping physical activity patterns from a young age."
187,"Poureslami, I., Kopec, J., Tregobov, N., Shum, J., Sawatzky, R., Hohn, R., & Fitzgerald, J. M. (2021). An integrated framework to conceptualize and develop the vancouver airways health literacy tool (Vahlt). Int. J. Environ. Res. Public Health, 18(16). https://doi.org/10.3390/ijerph18168646","Existing health literacy tools often lack comprehensiveness and patient involvement in development.
The VAHLT addresses gaps by focusing on performance-based assessment rather than self-evaluation.
The study emphasizes the importance of involving patients and professionals to ensure content relevance.
The developed tool is detailed and inclusive but may require adaptation for broader applications, such as multilingual or general population use.
Barriers include language proficiency, literacy levels, and rural access to healthcare information."
188,"Oliffe, J. L., McCreary, D. R., Black, N., Flannigan, R., & Goldenberg, S. L. (2020). Canadian Men’s Health Literacy: A Nationally Representative Study. Health Promot. Pract., 21(6), 993–1003. https://doi.org/10.1177/1524839919837625","Low income, low education, and living alone were associated with low health literacy.
Gay, bisexual, or other sexual orientations correlated with lower ""social support for health"" scores.
Higher income and education levels predicted higher health literacy.
Older men reported better engagement with healthcare providers.
The findings highlight the importance of tailoring health promotion programs to address demographic and social determinants of health."
189,"Bilican Demir, S., & Yildirim, O. (2021). Indirect Effect of Economic, Social, and Cultural Status on Immigrant Students’ Science Performance Through Science Dispositions: A Multilevel Analysis. Educ. Urban Soc., 53(3), 336–356. https://doi.org/10.1177/0013124520928602","Economic, social, and cultural status (ESCS) had direct and indirect effects on science performance, mediated by science dispositions (self-efficacy and epistemological beliefs about science).
Immigrant students with higher ESCS performed better in science, demonstrating that SES and cultural capital significantly impact academic integration.
Science dispositions (e.g., self-efficacy and epistemological beliefs) acted as partial mediators for science performance.
Policy implications include fostering positive science-related attitudes and increasing access to resources for immigrant students."
190,"Jefferies, P., Bremer, E., Kozera, T., Cairney, J., & Kriellaars, D. (2021). Psychometric properties and construct validity of play self: A self-reported measure of physical literacy for children and youth. Appl. Physiol. Nutr. Metab., 46(6), 579–588. https://doi.org/10.1139/apnm-2020-0410","PLAYself demonstrated strong psychometric properties, including internal reliability and validity.
Higher scores in PLAYself were positively associated with movement competence, motivation, and self-concept.
The tool was deemed practical for use in schools and suitable for population-level studies or program evaluations.
Recommendations include adding items to better capture higher-performing individuals and refining ambiguous or misinterpreted questions."
192,"Seaton, C. L., Oliffe, J. L., Rice, S. M., Bottorff, J. L., Johnson, S. T., Gordon, S. J., & Chambers, S. K. (2020). Health Literacy Among Canadian Men Experiencing Prostate Cancer. Health Promot. Pract., 21(6), 1004–1011. https://doi.org/10.1177/1524839919827576","Higher education levels were positively associated with better health literacy scores.
Men without comorbidities displayed higher health literacy.
Challenges in navigating the health care system and accessing sufficient information for managing health were significant."
194,"Smythe, S., Grotlüschen, A., & Buddeberg, K. (2021). The automated literacies of e-recruitment and online services. Stud. Educ. Adults, 53(1), 4–22. https://doi.org/10.1080/02660830.2020.1855870","Low-literate adults and long-term unemployed individuals face greater challenges with e-recruitment platforms.
Automated systems can amplify inequalities by privileging conformity in resumes and penalizing diverse work histories.
Literacy mediators play a critical role in bridging gaps for marginalized job seekersâ€‹"
202,"Stearns, J. A., Wohlers, B., McHugh, T.-L. F., Kuzik, N., & Spence, J. C. (2019). Reliability and Validity of the PLAYfun Tool with Children and Youth in Northern Canada. Meas. Phys. Educ. Exerc. Sci., 23(1), 47–57. https://doi.org/10.1080/1091367X.2018.1500368","The study found that for children and youth in northern Canada, the motor competence aspect of physical literacy is most accurately assessed using the complete PLAYfun tool with two raters. It reported moderate-to-large convergent validity with the CAMSA obstacle course and small-to-moderate convergent validity with self-reported physical activity (PAQ-C)."
203,"Belanger, K., Barnes, J. D., Longmuir, P. E., Anderson, K. D., Bruner, B., Copeland, J. L., Gregg, M. J., Hall, N., Kolen, A. M., Lane, K. N., Law, B., MacDonald, D. J., Martin, L. J., Saunders, T. J., Sheehan, D., Stone, M., Woodruff, S. J., & Tremblay, M. S. (2018). The relationship between physical literacy scores and adherence to Canadian physical activity and sedentary behaviour guidelines. BMC Public Health, 18. https://doi.org/10.1186/s12889-018-5897-4",Children meeting the physical activity guidelines (PAG) and sedentary behaviour guidelines (SBG) had higher physical literacy domain scores for Physical Competence and Motivation and Confidence compared to those not meeting these guidelines. The study suggests significant associations between physical literacy and adherence to physical activity and sedentary behaviour guidelinesâ€‹
216,"Kaur, N., Kandelman, D., & Potvin, L. (2019). Effectiveness of Safeguard your smile,” an oral health literacy intervention, on oral hygiene self-care behaviour among Punjabi immigrants: A randomized controlled trial. Can. J. Dent. Hyg., 53(1), 23–32. https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065964872&partnerID=40&md5=560fa8c88faa685173d5670ebcd10478","The SYS intervention significantly improved oral hygiene self-care knowledge and behaviors, oral health literacy, and clinical outcomes (plaque and gingival indices).
Participants who received the SYS intervention showed greater positive changes compared to the control group.
The SYS intervention demonstrated the potential to be adapted for other vulnerable populations."
217,"Couture, M., Chouinard, M.-C., Fortin, M., & Hudon, C. (2017). The relationship between health literacy and quality of life among frequent users of health care services: A cross-sectional study. Health Qual. Life Outcomes, 15(1). https://doi.org/10.1186/s12955-017-0716-7",The study found no significant association between health literacy and the physical or mental components of quality of life among frequent healthcare users. This suggests that health literacy may not directly correlate with quality of life in this population
218,"Gunnell, K. E., Longmuir, P. E., Barnes, J. D., Belanger, K., & Tremblay, M. S. (2018). Refining the Canadian Assessment of Physical Literacy based on theory and factor analyses. BMC Public Health, 18. https://doi.org/10.1186/s12889-018-5899-2","The revised CAPL model with 14 indicators provided a more concise and theoretically aligned measure of physical literacy.
Physical competence and daily behaviour were the most robust domains, while knowledge and understanding required further refinement.
The study emphasized rebalancing weights for CAPL scoring to give higher importance to physical competence, daily behaviour, and motivation"
