pub_id,doi,isbn,doc_type,authors,authors_clean,pub_year,title,source,volume,issue,pages,openalex_id,editor,location,edition,publisher,author_id
893,https://doi.org/10.1177/08901171211050059,,Article,Leanne Kosowan; Stephen Shannon; Janet Rothney; Gayle Halas; Jennifer Enns; Maxine Holmqvist; Pamela Wener; Leah Goertzen; Alan Katz,,2022,Informing the Physical Activity Evaluation Framework: A Scoping Review of Reviews.,American Journal of Health Promotion,36,2,340-366,https://openalex.org/W4200541940,,,,SAGE Publishing,1175
892,https://doi.org/10.1177/0890117119895951,,Article,Marjorie Rafaela Lima do Vale; Anna Farmer; Geoff D.C. Ball; Rebecca Gokiert; Katerina Maximova; Jessica Thorlakson,,2020,"Implementation of Healthy Eating Interventions in Center-Based Childcare: The Selection, Application, and Reporting of Theories, Models, and Frameworks",American Journal of Health Promotion,,,,https://openalex.org/W3003927550,,,,SAGE Publishing,1473
438,https://doi.org/10.1053/j.ajkd.2017.05.018,,Article,Elizabeth Simonsen; Paul Komenda; Blake Lerner; Nicole Askin; Clara Bohm; James Shaw; Navdeep Tangri; Claudio Rigatto,,2017,Treatment of Uremic Pruritus: A Systematic Review,American Journal of Kidney Diseases,70,5,638-655,https://openalex.org/W2735601046,,,,Elsevier BV,1195
2098,https://doi.org/10.1016/j.amepre.2005.08.043,,Article,Charles J Bentz; K. Bruce Bayley; Kerry E. Bonin; Lori Fleming; Jack F. Hollis; Timothy A. McAfee,,2006,The Feasibility of Connecting Physician Offices to a State-Level Tobacco Quit Line,American Journal of Preventive Medicine,30,1,31-37,https://openalex.org/W2028841736,,,,Elsevier BV,1693
213,https://doi.org/10.1016/j.amepre.2020.01.010,,Article,John C. Spence; Yeong-Bae Kim; Carminda G. Lamboglia; Cliff Lindeman; Amie Mangan; Ashley P. McCurdy; Jodie A. Stearns; Brendan Wohlers; Allison Sivak; Marianne Clark,,2020,Potential Impact of Autonomous Vehicles on Movement Behavior: A Scoping Review,American Journal of Preventive Medicine,,,,https://openalex.org/W3010599154,,,,Elsevier BV,1469
2186,https://doi.org/10.1176/appi.ajp.162.10.1805,,Article,Andrea Cipriani; Heather Pretty; Keith Hawton; John R. Geddes,,2005,Lithium in the Prevention of Suicidal Behavior and All-Cause Mortality in Patients With Mood Disorders: A Systematic Review of Randomized Trials,American Journal of Psychiatry,162,10,1805-1819,https://openalex.org/W2117178110,,,,American Psychiatric Association,1735
2187,https://doi.org/10.1176/appi.ajp.163.3.550-a,,Article,Andrea Cipriani; Heather Pretty; Keith Hawton; John R. Geddes,,2006,Dr. Cipriani and Colleagues Reply,American Journal of Psychiatry,163,3,550-551,https://openalex.org/W1988839725,,,,American Psychiatric Association,1735
718,https://doi.org/10.1111/ajt.16907,,Article,Julie Ho; George N. Okoli; Rasheda Rabbani; Otto L T Lam; Viraj K Reddy; Nicole Askin; Christie Rampersad; Aaron J. Trachtenberg; Chris Wiebe; Peter Nickerson; Ahmed M Abou-Setta,,2021,Effectiveness of T cellñmediated rejection therapy: A systematic review and meta?analysis,American Journal of Transplantation,22,3,772-785,https://openalex.org/W3216885316,,,,Wiley-Blackwell,1195
48,https://doi.org/10.1002/anie.201410033,,Article,Erika N. Daley; Christopher M. Vogels; Stephen J. Geier; Andreas Decken; Simon Doherty; Stephen A. Westcott,,2015,The Phosphinoboration Reaction,Angewandte Chemie,,,,https://openalex.org/W2147407521,,,,Wiley,1283
215,https://doi.org/10.1016/j.anbehav.2017.02.017,,Article,Malcolm F. Rosenthal; Matthew Gertler; Angela D. Hamilton; Sonal Prasad; Maydianne C. B. Andrade,,2017,Taxonomic bias in animal behaviour publications,Animal Behaviour,127,,83-89,https://openalex.org/W2604572287,,,,Elsevier BV,851
392,https://doi.org/10.1017/S1466252320000237,,Article,Danielle A. Julien; Jan M. Sargeant; Catherine Filejski; Ali Versluis; Victoria Waind; Sherilee L. Harper,,2021,Unleashing the literature: a scoping review of canine zoonotic and vectorborne disease research in <i>Canis familiaris</i> in North America,Animal Health Research Reviews,22,1,26-39,https://openalex.org/W3114394361,,,,Cambridge University Press,1125
1687,https://doi.org/10.3390/ani11102782,,Article,Katherine J Kelly; Laurie Anne McDuffee; Kimberly Mears,,2021,"The Effect of HumanñHorse Interactions on Equine Behaviour, Physiology, and Welfare: A Scoping Review",Animals,11,10,,https://openalex.org/W3203669620,,,,MDPI,1311
1910,https://doi.org/10.7326/M19-3007,,Article,Claudia C. Dobler; Allison S. Morrow; Bradley Beuschel; Magdoleen H. Farah; Abdul M. Majzoub; Michael E. Wilson; Bashar Hasan; Mohamed O. Seisa; Lubna Daraz; Larry J. Prokop; Mohammad Hassan Murad; Zhen Wang,,2020,Pharmacologic Therapies in Patients With Exacerbation of Chronic Obstructive Pulmonary Disease,Annals of Internal Medicine,172,6,413-422,https://openalex.org/W3008243365,,,,American College of Physicians,2031
1908,https://doi.org/10.7326/0003-4819-153-4-201008170-00263,,Article,Jennifer C Seida; Claire LeBlanc; Janine R Schouten; Shima S Mousavi; Lisa Hartling; Ben Vandermeer; Lisa Tjosvold; David M Sheps,,2010,Systematic Review: Nonoperative and Operative Treatments for Rotator Cuff Tears,Annals of Internal Medicine,,,,https://openalex.org/W2109345357,,,,American College of Physicians,1479
900,https://doi.org/10.1177/1060028016672035,,Article,Jill Hall; Monika Bolina; Trish Chatterley; Fakhreddin Jamali,,2017,"Interaction Between Low-Dose Methotrexate and Nonsteroidal Anti-inflammatory Drugs, Penicillins, and Proton Pump Inhibitors",Annals of Pharmacotherapy,,,,https://openalex.org/W2529336608,,,,SAGE Publishing,1484
775,https://doi.org/10.1136/annrheumdis-2019-eular.6404,,Article,Valeria Valerio Guillen; Carol A. Hitchon; Hal Loewen; Girish M. Mody; Ines Colmegna,,2019,AB0452 SYSTEMATIC REVIEW OF GUIDELINES ON THE USE OF METHOTREXATE IN RHEUMATOID ARTHRITIS,Annals of the Rheumatic Diseases,78,2,,https://openalex.org/W2953283032,,,,BMJ,1171
776,https://doi.org/10.1136/annrheumdis-2020-eular.1544,,Article,A. Davidson; A. Gunay; Ines Colmegna; Diane Lacaille; Hal Loewen; Michele Meltzer; Rosie Scuccimarri; Yewondwossen Tadesse Mengistu; Sasha Bernatsky; Carol A. Hitchon,,2020,FRI0064 SAFETY OF LOW DOSE METHOTREXATE (MTX) AND TUBERCULOSIS (TB),Annals of the Rheumatic Diseases,79,1,,https://openalex.org/W3044737691,,,,BMJ,1171
777,https://doi.org/10.1136/annrheumdis-2020-eular.2968,,Article,A. Gunay; A. Davidson; Ines Colmegna; Diane Lacaille; Hal Loewen; Michele Meltzer; Yewondwossen Tadesse Mengistu; Rosie Scuccimarri; Z. Yirsaw; Sasha Bernatsky; Carol A. Hitchon,,2020,SAT0078 SAFETY OF LOW DOSE METHOTREXATE (MTX) IN HUMAN IMMUNODEFICIENCY VIRUS (HIV) INFECTION,Annals of the Rheumatic Diseases,79,1,,https://openalex.org/W3044904227,,,,BMJ,1171
2100,https://doi.org/10.1016/j.apergo.2014.07.010,,Article,F.S. Ayachi; Jonathan Dorey; Catherine Guastavino,,2015,Identifying factors of bicycle comfort: An online survey with enthusiast cyclists,Applied Ergonomics,46,,124-136,https://openalex.org/W2033517432,,,,Elsevier BV,599
839,https://doi.org/10.1139/apnm-2020-0467,,Article,Robert Ross; Jean-Philippe Chaput; Lora Giangregorio; Ian Janssen; Travis J. Saunders; Michelle E. Kho; Veronica J. Poitras; Jennifer R Tomasone; Rasha El-Kotob; Emily Claire McLaughlin; Mary Duggan; Julie Carrier; Valerie Carson; Sebastien F. M. Chastin; Amy E Latimer-Cheung; Tala Chulak-Bozzer; Guy Faulkner; Stephanie M Flood; Mary Kate Gazendam; Genevieve N. Healy; Peter T. Katzmarzyk; William Kennedy; Kirstin Lane; Amanda L. Lorbergs; Kaleigh Maclaren; Sharon Marr; Kenneth E. Powell; Ryan E. Rhodes; Amanda Ross-White; Frank Welsh; Juana Willumsen; Mark S. Tremblay,,2020,"Canadian 24-Hour Movement Guidelines for Adults aged 18ñ64 years and Adults aged 65 years or older: an integration of physical activity, sedentary behaviour, and sleep","Applied Physiology, Nutrition, and Metabolism",45,10,S57-S102,https://openalex.org/W3092720775,,,,NRC Research Press,301
840,https://doi.org/10.1139/apnm-2020-0564,,Article,Michelle E. Kho; Veronica J. Poitras; Ian Janssen; Jean-Philippe Chaput; Travis J. Saunders; Lora Giangregorio; Jennifer R Tomasone; Amanda Ross-White; Robert Ross,,2020,Development and application of an outcome-centric approach for conducting overviews of reviews,"Applied Physiology, Nutrition, and Metabolism",45,10,S151-S164,https://openalex.org/W3093458467,,,,NRC Research Press,301
2303,https://doi.org/10.31274/archivalissues.11073,,Article,Tom Belton,,2019,Using GIS and Mapping Tools to Access and Visualize Archival Records: Case Studies and Survey Results of North American Archivists and Historians,Archival issues,39,2,,https://openalex.org/W3081593717,,,,Midwest Archives Conference,956
2088,https://doi.org/10.1007/bf02435641,,Article,Carol Couture; Louise Gagnon-Arguin,,2001,Le management de l'archive,Archival Science,1,1,101-105,https://openalex.org/W2578640951,,,,Archives & Museum Informatics,2043
2091,https://doi.org/10.1007/s10502-018-9288-5,,Article,Sarah A. Buchanan; Jonathan Dorey; Kathryn Pierce Meyer,,2018,Traveling through: exploring doctoral demographics in archival studies,Archival Science,18,2,143-163,https://openalex.org/W2799969802,,,,Archives & Museum Informatics,599
2090,https://doi.org/10.1007/s10502-014-9218-0,,Article,Guillaume Boutard,,2015,Towards mixed methods digital curation: facing specific adaptation in the artistic domain,Archival Science,,15,169-189,https://openalex.org/W2016408706,,,,Archives & Museum Informatics,2029
2411,https://doi.org/10.7202/1035723ar,,Article,Denis Boudreau; Florian Daveau; FrÈdÈric Giuliano,,2016,"Diffuser, partager et síapproprier le patrimoine documentaire quÈbÈcois. Le projet collaboratif de BAnQ sur WikimÈdia : une premiËre au Canada",Archives,46,1,61-81,https://openalex.org/W2337112581,,,,Consortium Erudit,644
2412,https://doi.org/10.7202/1035724ar,,Article,Marie-Claire Dufresne; Evelyne Gratton,,2016,RÈduire les silos díinformation ñ Bilan díexpÈrience au Cirque du Soleil avec la gestion Èlectronique des documents,Archives,46,1,83-100,https://openalex.org/W2338689539,,,,Consortium Erudit,589
2417,https://doi.org/10.7202/1041823ar,,Article,Evelyne Gratton,,2017,Mot de la rÈdaction,Archives,47,1,05-Apr,https://openalex.org/W2770948573,,,,Consortium Erudit,589
2423,https://doi.org/10.7202/1060814ar,,Article,Louise Gagnon-Arguin,,2019,LíAssociation des archivistes du QuÈbec ‡ travers ´ ses ª histoires,Archives,48,1,41-53,https://openalex.org/W2967439563,,,,Consortium Erudit,2043
2432,https://doi.org/10.7202/1075706ar,,Article,Simon CÙtÈ-Lapointe; Laure AmÈlie Guitard; AnnaÎlle Winand; CÈcile Gaiffe,,2020,La contribution actuelle de la recherche doctorale en archivistique ‡ líUniversitÈ de MontrÈal,Archives,49,,57-84,https://openalex.org/W3136787380,,,,Consortium Erudit,658
95,https://doi.org/10.1007/BF02770398,,Article,Michael B. Moir,,1992,The use of optical disc technology to improve access to historical photographs,Archives and Museum Informatics,6,1,44693,https://openalex.org/W2067333733,,,,Springer Nature,1032
778,https://doi.org/10.1136/archdischild-2017-314046,,Article,Mahin Delara; Bhupendrasinh F Chauhan; MÍ Linh Le; Ahmed M Abou-Setta; Ryan Zarychanski; Geert W. Tjong,,2019,Efficacy and safety of pulmonary application of corticosteroids in preterm infants with respiratory distress syndrome: a systematic review and meta-analysis,Archives of Disease in Childhood-fetal and Neonatal Edition,104,2,137-144,https://openalex.org/W2802026511,,,,BMJ,1194
779,https://doi.org/10.1136/archdischild-2017-314046,,Article,Mahin Delara; Bhupendrasinh F Chauhan; MÍ Linh Le; Ahmed M Abou-Setta; Ryan Zarychanski; Geert W. Tjong,,2019,Efficacy and safety of pulmonary application of corticosteroids in preterm infants with respiratory distress syndrome: a systematic review and meta-analysis,Archives of Disease in Childhood-fetal and Neonatal Edition,104,2,137-144,https://openalex.org/W2802026511,,,,BMJ,1194
772,https://doi.org/10.1136/adc.2008.148411,,Article,Lisa Hartling; Mehaboob Shaik; Lisa Tjosvold; Robin Leicht; Yuanyuan Liang; Manoj Kumar,,2009,Music for medical indications in the neonatal period: a systematic review of randomised controlled trials,Archives of Disease in Childhood-fetal and Neonatal Edition,,,,https://openalex.org/W2100613475,,,,BMJ,1479
16,https://doi.org/10.1001/archpediatrics.2007.40,,Article,Nicole Boluyt; Lisa Tjosvold; Carol Lefebvre; Terry P. Klassen; Martin Offringa,,2008,Usefulness of Systematic Review Search Strategies in Finding Child Health Systematic Reviews in MEDLINE,Archives of pediatrics & adolescent medicine,162,2,111-116,https://openalex.org/W2011588493,,,,American Medical Association,1479
2101,https://doi.org/10.1016/j.apmr.2006.08.116,,Article,Dinesh Kumbhare; Tatiana Zaraiskaya; Michael D. Noseworthy,,2006,PR_094,Archives of Physical Medicine and Rehabilitation,,,,https://openalex.org/W2747468836,,,,Elsevier BV,1643
219,https://doi.org/10.1016/j.apmr.2021.04.006,,Article,Chiara Arienti; Susan Armijo-Olivo; Silvia Minozzi; Lisa Tjosvold; Stefano G. Lazzarini; Michele Patrini; Stefano Negrini,,2021,Methodological Issues in Rehabilitation Research: A Scoping Review,Archives of Physical Medicine and Rehabilitation,,,,https://openalex.org/W3161938230,,,,Elsevier BV,1479
220,https://doi.org/10.1016/j.apmr.2021.04.007,,Article,Susan Armijo-Olivo; Michele Patrini; Ana Izabela Sobral de Oliveira-Souza; Liz Dennett; Chiara Arienti; Mustafa Dahchi; Stefano Negrini,,2021,Tools to Assess the Risk of Bias and Reporting Quality of Randomized Controlled Trials in Rehabilitation,Archives of Physical Medicine and Rehabilitation,,,,https://openalex.org/W3160066024,,,,Elsevier BV,1448
2151,https://doi.org/10.1086/adx.20.2.27949147,,Article,D. Vanessa Kam,,2001,"On Collecting and Exhibiting Art Objects in Libraries, Archives, and Research Institutes",Art Documentation: Journal of the Art Libraries Society of North America,20,2,15-Oct,https://openalex.org/W2223144580,,,,Art Libraries Society of North America,1415
2152,https://doi.org/10.1086/adx.23.1.27949280,,Article,D. Vanessa Kam,,2004,"Cultural Calamities: Damage to Iraq's Museums, Libraries, and Archaeological Sites During the United States-Led War on Iraq",Art Documentation: Journal of the Art Libraries Society of North America,23,1,11-Apr,https://openalex.org/W2473372121,,,,Art Libraries Society of North America,1415
2153,https://doi.org/10.1086/adx.26.2.27949465,,Article,D. Vanessa Kam,,2007,Subject Headings for Aboriginals: The Power of Naming,Art Documentation: Journal of the Art Libraries Society of North America,26,2,18-22,https://openalex.org/W2506942114,,,,Art Libraries Society of North America,1415
2148,https://doi.org/10.1086/675702,,Article,D. Vanessa Kam,,2014,"The Tenacious Book, Part 1: The Curious State of Art and Architecture Library Collections in a Digital Era",Art Documentation: Journal of the Art Libraries Society of North America,33,1,17-Feb,https://openalex.org/W2031268539,,,,Art Libraries Society of North America,1415
2149,https://doi.org/10.1086/675703,,Article,D. Vanessa Kam,,2014,"The Tenacious Book, Part 2: Publishersí Views on the Once and Future State of the Art Book",Art Documentation: Journal of the Art Libraries Society of North America,33,1,18-26,https://openalex.org/W2048096141,,,,Art Libraries Society of North America,1415
2150,https://doi.org/10.1086/713835,,Article,Jenna Dufour; Sara Ellis; John Latour,,2021,Reimagining Canadian Art Practices and Art Collections,Art Documentation: Journal of the Art Libraries Society of North America,40,1,81-103,https://openalex.org/W3171156430,,,,Art Libraries Society of North America,560
2117,https://doi.org/10.1017/s0307472200015753,,Article,Felicity Tayler; John Latour,,2009,Contemporary glocal: positioning a national mandate within a global context,Art libraries journal,34,1,40-45,https://openalex.org/W2483525333,,,,Cambridge University Press,560
2118,https://doi.org/10.1017/s0307472200018125,,Article,Corina MacDonald; Tomasz Neugebauer; John Latour,,2014,The e-artexte digital repository: Promoting open access in the Canadian contemporary arts research and publishing community,Art libraries journal,39,1,16-Oct,https://openalex.org/W2495498057,,,,Cambridge University Press,560
628,https://doi.org/10.1108/00012530810847344,,Article,Mike Thelwall; Xuemei Li; Franz Barjak; Simon Robinson,,2008,Assessing the international web connectivity of research groups,Aslib proceedings,61,2,18-32,https://openalex.org/W1975680728,,,,Emerald (MCB UP),1068
445,https://doi.org/10.1080/00049670.2015.1017915,,Article,Rachel Sarjeant-Jenkins; Keith Walker,,2015,Serving remote communities together: a Canadian joint use library study,Australian Library Journal,24,7,795-803,https://openalex.org/W1576875018,,,,Taylor & Francis,1368
434,https://doi.org/10.1042/bj2670379,,Article,L. Larose; N. McNicoll; J J Rondeau; Emanuel Escher; A. De Lean,,1990,Photoaffinity labelling of atrial natriuretic factor (ANF)-R1 receptor by underivatized 125I-ANF. Involvement of lipid peroxidation,Biochemical Journal,267,2,379-384,https://openalex.org/W319158277,,,,Portland Press,687
435,https://doi.org/10.1042/bj2680443,,Article,J.-J. Rondeau; N. Mcnicoll; Emanuel Escher; S. Meloche; Huy Ong; A. De Lean,,1990,Hydrodynamic properties of the angiotensin II receptor from bovine adrenal zona glomerulosa,Biochemical Journal,268,2,443-448,https://openalex.org/W2396089981,,,,Portland Press,687
2119,https://doi.org/10.1021/bi960818q,,Article,N. McNicoll; Jean Gagnon; J J Rondeau; Huy Ong; De LÈan A,,1996,Localization by Photoaffinity Labeling of Natriuretic Peptide Receptor-A Binding DomainÜ,Biochemistry,,,,https://openalex.org/W2082211292,,,,American Chemical Society,687
2102,https://doi.org/10.1016/j.bbabio.2012.05.016,,Article,Sergey Vassiliev; Tatiana Zaraiskaya; Doug Bruce,,2012,Exploring the energetics of water permeation in photosystem II by multiple steered molecular dynamics simulations,Biochimica Et Biophysica Acta - Bioenergetics,,,,https://openalex.org/W2005594958,,,,Elsevier BV,1643
2103,https://doi.org/10.1016/j.bbabio.2013.06.008,,Article,Serguei Vassiliev; Tatiana Zaraiskaya; Doug Bruce,,2013,Molecular dynamics simulations reveal highly permeable oxygen exit channels shared with water uptake channels in photosystem II,Biochimica Et Biophysica Acta - Bioenergetics,,,,https://openalex.org/W2062190671,,,,Elsevier BV,1643
2104,https://doi.org/10.1016/j.bbapap.2007.05.016,,Article,SÈbastien Roy; MÈlanie Fortin; Julie Gagnon; Mariana Gabriela Ghinet; Jean-Guy Lehoux; Gilles Dupuis; Ryszard Brzezinski,,2007,Quantitative fluorometric analysis of the protective effect of chitosan on thermal unfolding of catalytically active native and genetically-engineered chitosanases,Biochimica Et Biophysica Acta - Proteins And Proteomics,1774,8,975-984,https://openalex.org/W2031299222,,,,Elsevier BV,1653
224,https://doi.org/10.1016/j.biocon.2015.07.016,,Article,Shawn J. Leroux; Chris Brimacombe; Shahira Khair; Jamie Benidickson; C. Scott Findlay,,2015,Legislative correlates of the size and number of protected areas in Canadian jurisdictions,Biological Conservation,191,,375-382,https://openalex.org/W1604727223,,,,Elsevier BV,1245
1,https://doi.org/10.1529/biophysj.104.054601,,Article,Tatiana Zaraiskaya; K.R. Jeffrey,,2005,Molecular Dynamics Simulations and 2H NMR Study of the GalCer/DPPG Lipid Bilayer,Biophysical Journal,88,6,4017-4031,https://openalex.org/W2109892746,,,,Elsevier BV,1643
611,https://doi.org/10.1097/MBP.0b013e328360fb85,,Article,Yazid N. Al Hamarneh; Sherilyn K.D. Houle; Patricia Chatterley; Ross T. Tsuyuki,,2013,The validity of blood pressure kiosk validation studies,Blood Pressure Monitoring,,,,https://openalex.org/W2025252261,,,,Lippincott Williams & Wilkins,1484
952,https://doi.org/10.1186/s12885-019-6296-7,,Article,Tara C. Horrill; Lindsey Dahl; Esther Sanderson; Garry Munro; Cindy Garson; Carole Taylor; Randy Fransoo; Genevieve Thompson; Catherine Cook; Janice Linton; Annette S.H. Schultz,,2019,"Comparing cancer incidence, stage at diagnosis and outcomes of First Nations and all other Manitobans: a retrospective analysis",BMC Cancer,19,1,10-Jan,https://openalex.org/W2988684098,,,,BioMed Central,1176
958,https://doi.org/10.1186/s12909-015-0350-1,,Article,Fiona Webster; Paul Krueger; Heather MacDonald; Douglas Archibald; Deanna Telner; Jessica P. Bytautas; Cynthia Whitehead,,2015,A scoping review of medical education research in family medicine,BMC Medical Education,15,1,06-Jan,https://openalex.org/W2124389011,,,,BioMed Central,849
931,https://doi.org/10.1186/1471-2288-6-33,,Article,Margaret Sampson; Li Zhang; Andra Morrison; Nick Barrowman; Tammy Clifford; Robert W. Platt; Terry P. Klassen; David Moher,,2006,An alternative to the hand searching gold standard: validating methodological search filters using relative recall,BMC Medical Research Methodology,,,,https://openalex.org/W1540816673,,,,Springer Science+Business Media,1375
932,https://doi.org/10.1186/1471-2288-6-7,,Article,Margaret Sampson; Nick Barrowman; David Moher; Tammy Clifford; Robert W. Platt; Andra Morrison; Terry P. Klassen; Li Zhang,,2006,Can electronic search engines optimize screening of search results in systematic reviews: an empirical study,BMC Medical Research Methodology,,,,https://openalex.org/W1935422282,,,,Springer Science+Business Media,1375
966,https://doi.org/10.1186/s12916-015-0379-3,,Article,Andrea C. Tricco; Charlene Soobiah; Erik Blondal; Areti Angeliki Veroniki; Paul A. Khan; Afshin Vafaei; John D. Ivory; Lisa Strifler; Huda M. Ashoor; Heather MacDonald; Emily Reynen; Reid Robson; Joanne Ho; Carmen Ng; Jesmin Antony; Kelly Mrklas; Brian Hutton; Brenda R. Hemmelgarn; David Moher; Sharon E. Straus,,2015,Comparative safety of serotonin (5-HT3) receptor antagonists in patients undergoing surgery: a systematic review and network meta-analysis,BMC Medicine,13,1,13-Jan,https://openalex.org/W2012425185,,,,Springer Science+Business Media,849
968,https://doi.org/10.1186/s12916-017-0845-1,,Article,Areti Angeliki Veroniki; Elise Cogo; Patricia Rios; Sharon E. Straus; Yaron Finkelstein; Ryan Kealey; Emily Reynen; Charlene Soobiah; Walter P. Wodchis; Brian Hutton; Brenda R. Hemmelgarn; Fatemeh Yazdi; Jennifer D'Souza; Heather MacDonald; Andrea C. Tricco,,2017,Comparative safety of anti-epileptic drugs during pregnancy: a systematic review and network meta-analysis of congenital malformations and prenatal outcomes,BMC Medicine,15,1,20-Jan,https://openalex.org/W2611218072,,,,Springer Science+Business Media,849
965,https://doi.org/10.1186/s12916-015-0371-y,,Article,Andrea C. Tricco; Charlene Soobiah; Erik Blondal; Areti Angeliki Veroniki; Paul A. Khan; Afshin Vafaei; John D. Ivory; Lisa Strifler; Huda M. Ashoor; Heather MacDonald; Emily Reynen; Reid Robson; Joanne Ho; Carmen Ng; Jesmin Antony; Kelly Mrklas; Brian Hutton; Brenda R. Hemmelgarn; David Moher; Sharon E. Straus,,2015,Comparative efficacy of serotonin (5-HT3) receptor antagonists in patients undergoing surgery: a systematic review and network meta-analysis,BMC Medicine,18,13,136,https://openalex.org/W2441473518,,,,Springer Science+Business Media,849
956,https://doi.org/10.1186/s12904-017-0231-y,,Article,Lorraine Holtslander; Sharon Baxter; Kelly Mills; Sarah Bocking; Tina Dadgostari; Wendy Duggleby; Vicky Duncan; Peter J. Hudson; Agatha Ogunkorode; Shelley Peacock,,2017,Honoring the voices of bereaved caregivers: a Metasummary of qualitative research,BMC Palliative Care,16,,,https://openalex.org/W2753419941,,,,BioMed Central,1351
934,https://doi.org/10.1186/1471-2431-10-34,,Article,Simon Bow; Jeffrey A. Klassen; Annabritt Chisholm; Lisa Tjosvold; Denise Thomson; Terry P. Klassen; David Moher; Lisa Hartling,,2010,A descriptive analysis of child-relevant systematic reviews in the Cochrane Database of Systematic Reviews,BMC Pediatrics,,,,https://openalex.org/W2001318621,,,,Springer Science+Business Media,1479
935,https://doi.org/10.1186/1471-2431-10-96,,Article,Michele P Hamm; Lisa Hartling; Andrea Milne; Lisa Tjosvold; Ben Vandermeer; Denise Thomson; Sarah Curtis; Terry P. Klassen,,2010,A descriptive analysis of a representative sample of pediatric randomized controlled trials published in 2007,BMC Pediatrics,,,,https://openalex.org/W2086860664,,,,Springer Science+Business Media,1479
