domain,field,subfield,sm_code
Natural Sciences,Chemistry,Polymers,155
Natural Sciences,Earth & Environmental Sciences,Environmental Sciences,156
Natural Sciences,Earth & Environmental Sciences,Geochemistry & Geophysics,157
Natural Sciences,Earth & Environmental Sciences,Geology,158
Natural Sciences,Earth & Environmental Sciences,Meteorology & Atmospheric Sciences,159
Natural Sciences,Earth & Environmental Sciences,Oceanography,160
Natural Sciences,Earth & Environmental Sciences,Paleontology,161
Natural Sciences,Mathematics & Statistics,Applied Mathematics,162
Natural Sciences,Mathematics & Statistics,General Mathematics,163
Natural Sciences,Mathematics & Statistics,Numerical & Computational Mathematics,164
Natural Sciences,Mathematics & Statistics,Statistics & Probability,165
Natural Sciences,Physics & Astronomy,Acoustics,166
Natural Sciences,Physics & Astronomy,Applied Physics,167
Natural Sciences,Physics & Astronomy,Astronomy & Astrophysics,168
Natural Sciences,Physics & Astronomy,Chemical Physics,169
Natural Sciences,Physics & Astronomy,Fluids & Plasmas,170
Natural Sciences,Physics & Astronomy,General Physics,171
Natural Sciences,Physics & Astronomy,Mathematical Physics,172
Natural Sciences,Physics & Astronomy,Nuclear & Particle Physics,173
Natural Sciences,Physics & Astronomy,Optics,174
